order_date,product_id,product_name,category,price,quantity,revenue
2025-04-29,3,Peach & Mango Salsa,,9,86,774
2025-03-18,33,Popcorn Chicken,,52,55,2860
2025-01-22,13,Zesty Garlic Hummus,,4,55,220
2025-03-27,99,Almond Butter Cups,,79,59,4661
2024-11-12,20,Fruit and Nut Energy Bites,,77,89,6853
2025-05-26,65,Cucumber Relish,,94,65,6110
2025-01-31,29,Vegan chocolate chip cookies,,3,74,222
2025-06-01,63,Portable Laptop Table,,78,75,5850
2024-09-18,42,Fleece Lined Leggings,,37,14,518
2025-02-12,63,Spicy Roasted Nuts,,98,29,2842
2025-02-16,86,Car Windshield Sun Shade,,100,39,3900
2025-01-08,15,Reusable Silicone Food Storage Bags,,83,68,5644
2024-12-06,48,Basil Lemonade,,77,21,1617
2024-10-02,92,Tortilla Chips,,24,12,288
2025-06-04,61,DIY Lip Balm Making Kit,,66,6,396
2024-11-11,82,Golf Polo Shirt,,92,50,4600
2024-12-09,56,Ice Cream Maker,,96,50,4800
2024-12-09,68,Ice Cream Maker,,59,41,2419
2024-10-14,62,Pumpkin Pancake Mix,,80,80,6400
2024-12-05,80,Garlic and Herb Rub,,36,80,2880
2024-09-15,88,Oven Mitts,,23,33,759
2024-07-13,39,Tuna Fish (canned),,54,88,4752
2024-11-18,44,Measuring Cups Set,,72,42,3024
2025-06-10,82,Organic Cucumber,,1,68,68
2025-01-07,58,Brown Sugar,,89,77,6853
2024-10-21,3,Non-Stick Baking Sheet,,36,93,3348
2025-05-05,16,Folding Backpack Chair,,75,98,7350
2025-06-18,33,Green Tea Matcha Powder,,94,37,3478
2025-02-15,98,Sweet Chili Thai Sauce,,78,45,3510
2025-04-06,60,Pocket Blanket,,61,46,2806
2025-06-28,41,Trendy Bomber Jacket,,60,69,4140
2025-03-18,37,Fitness Resistance Bands Set,,4,93,372
2024-07-27,17,Outdoor Camping Lantern,,62,31,1922
2024-09-15,26,Truffle Parmesan Fries,,44,17,748
2024-08-19,78,Electric Griddle with Lid,,32,84,2688
2025-03-18,3,Chocolate Hazelnut Granola,,32,78,2496
2025-03-18,78,Italian Marinara Sauce,,30,14,420
2024-12-10,35,Coffee Maker,,52,2,104
2025-01-13,6,Compressed Towel Tablets,,96,65,6240
2025-05-22,44,Wireless Music Receiver,,26,89,2314
2025-01-02,38,Mini Projector for Smartphones,,34,33,1122
2024-12-11,47,Over-the-Door Hooks,,72,68,4896
2025-03-18,64,LED Disco Ball Light,,22,18,396
2025-03-05,81,Spiced Pumpkin Soup,,71,64,4544
2025-04-02,90,Children's Gardening Set,,100,86,8600
2024-11-16,33,Samsung Galaxy Smartwatch,,68,83,5644
2024-09-28,51,Pet Training Pads,,55,47,2585
2025-03-15,51,Set of Gardening Gloves with Claws,,83,32,2656
2025-06-09,61,Folding Exercise Bike,,84,64,5376
2024-12-15,11,Frozen Berry Blend,,43,96,4128
2025-07-08,28,Chickpea Snack Mix,,15,52,780
2025-01-18,98,Dried Fruit Medley,,13,25,325
2025-06-13,18,Sea Salt Tortilla Chips,,93,87,8091
2025-01-31,60,Lockable Bicycle Chain,,99,52,5148
2024-08-31,20,Almond Milk,,38,69,2622
2025-01-31,19,Garden Hoses with Expandable Features,,79,46,3634
2024-09-14,23,Pork Tenderloin,,64,76,4864
2025-01-05,62,Pet Bed,,4,22,88
2025-01-08,40,Mini Pretzels,,96,6,576
2024-11-10,25,Kale Salad with Lemon Dressing,,27,93,2511
2024-09-21,70,Maple Cinnamon Almonds,,24,42,1008
2025-05-09,48,High-Speed HDMI Cable,,100,30,3000
2024-11-09,49,Smoked Paprika,,33,99,3267
2025-04-29,9,Electric Kettle,,15,82,1230
2024-10-12,94,High-Waisted Skirt,,62,5,310
2024-09-20,98,Savory Rice Cakes,,24,17,408
2024-09-15,27,Vegetable Chips,,59,11,649
2024-09-03,13,Chipotle Black Bean Salad,,40,38,1520
2024-12-18,52,Basketball,,11,24,264
2024-12-20,12,Italian Meatballs,,55,30,1650
2024-08-04,55,Measuring Cups Set,,11,43,473
2024-10-02,87,Travel Makeup Organizer,,97,16,1552
2024-12-21,57,Electric Rice Cooker,,60,9,540
2024-11-06,77,Waterproof Rain Boots,,88,7,616
2024-12-04,73,Photo Album,,85,84,7140
2024-09-20,40,Classic Slim Fit Shirt,,24,11,264
2025-05-07,70,Sea Salt Tortilla Chips,,32,66,2112
2025-03-21,2,Vegan Alfredo Sauce,,57,26,1482
2025-01-14,51,Chocolate Mint Thins,,8,5,40
2025-01-19,28,Balsamic Glazed Brussels Sprouts,,58,5,290
2025-01-11,91,Herb Drying Rack,,59,39,2301
2024-09-29,39,Portable Electric Fan,,98,11,1078
2025-05-08,81,Adjustable Pet Feeder,,14,33,462
2025-04-19,21,Creamy Tomato Basil Soup,,52,8,416
2025-01-07,23,Memory Foam Mattress Topper,,35,73,2555
2025-01-17,11,Cream Cheese,,32,83,2656
2025-05-02,23,Peanut Butter Pretzel Bites,,11,38,418
2025-01-30,62,Rechargeable Laptop Battery Pack,,76,88,6688
2024-09-29,3,Electric Bike,,41,82,3362
2024-08-21,47,Herb Garden Planter Box,,41,28,1148
2024-12-06,90,Almond Coconut Granola,,87,9,783
2024-12-25,61,Mediterranean Flatbread,,45,26,1170
2025-05-10,100,Wireless Induction Charger,,94,11,1034
2025-07-09,33,Electric Griddle with Lid,,8,80,640
2025-02-11,64,USB-C Hub,,4,40,160
2025-03-29,45,Honey Ginger Tea,,60,60,3600
2025-02-11,18,Siphon Coffee Maker,,76,50,3800
2025-06-09,86,Eco-Friendly Cleaning Cloths,,59,13,767
2024-12-08,97,Insulated Cooler,,91,62,5642
2025-05-20,86,Pumpkin Waffles,,48,28,1344
2024-09-13,16,Flavored Instant Oatmeal,,31,3,93
2024-07-13,11,Compact Folding Table,,40,55,2200
2025-03-03,2,Noise-Canceling Headphones,,22,26,572
2024-09-26,57,Peanut Butter Protein Balls,,8,81,648
2024-12-03,4,Reversible Swimming Pool Lounger,,16,26,416
2024-09-25,66,Portable Campfire,,60,47,2820
2025-02-23,80,Overnight Duffle Bag,,74,54,3996
2024-07-18,97,Portable Dog Water Bottle,,64,15,960
2025-04-30,67,Phone Case,,46,54,2484
2024-08-26,96,Bluetooth Shower Speaker,,56,95,5320
2024-07-17,1,Crispy Kale Chips,,66,57,3762
2024-11-23,55,Garlic and Herb Rub,,64,19,1216
2024-09-27,97,Organic Cucumber,,40,87,3480
2025-04-26,39,Chia Seeds,,59,4,236
2025-06-09,93,Garden Hoses with Expandable Features,,3,69,207
2025-03-03,48,Children's Musical Instrument Set,,84,82,6888
2025-01-16,27,Lentil Vegetable Curry,,86,96,8256
2025-06-27,89,Comfy Slippers,,70,40,2800
2024-09-10,4,Wireless Wi-Fi Extender,,17,58,986
2025-03-12,6,Portable Refrigerator Freezer,,31,96,2976
2024-11-25,93,Cinnamon Apple Sauce,,92,63,5796
2025-03-07,74,Cinnamon Sugar Tortilla Chips,,65,59,3835
2025-01-12,50,Multifunctional Baby Bottle Warmer,,58,41,2378
2025-04-01,78,Portable Hammock,,50,15,750
2025-04-13,11,Samoas Cookie Mix,,44,34,1496
2025-04-03,21,Electric Heat Pad,,54,87,4698
2025-04-08,78,Black Bean Salsa,,3,25,75
2025-04-16,74,Reversible Comforter Set,,25,45,1125
2025-02-20,59,Wireless Gaming Mouse,,55,89,4895
2025-03-24,73,Coconut Oil,,65,57,3705
2024-10-23,82,Wooden Blocks,,21,3,63
2024-11-01,68,Gardening Fairy Figurines,,14,12,168
2025-06-20,20,Electric Pressure Washer,,28,26,728
2024-08-29,68,LED Makeup Mirror,,60,16,960
2024-12-18,68,Hiking Gaiters,,27,36,972
2025-07-02,28,Smart Home Security Camera,,9,33,297
2025-03-15,61,Noise-Canceling Headphones,,22,56,1232
2024-10-14,51,Chia Seed Pudding,,7,59,413
2024-09-07,54,Toasted Coconut Granola,,62,73,4526
2025-05-03,49,Tailored Dress Pants,,78,34,2652
2024-08-21,34,Vegan Mac & Cheese,,45,26,1170
2024-07-11,37,Gardening Kneeler and Seat,,36,24,864
2025-02-21,46,Creamy Avocado Dip,,76,16,1216
2024-12-20,33,Smart Wi-Fi Camera,,9,82,738
2024-07-27,68,Hibiscus Herbal Tea,,32,71,2272
2025-03-04,37,Coconut Cream Pie,,27,53,1431
2025-03-02,8,Travel Yoga Mat,,9,46,414
2024-12-17,81,Chocolate Fudge Ice Cream,,69,7,483
2025-02-12,18,Laptop Sleeve,,20,85,1700
2025-06-04,6,Wireless Earbuds Case,,1,76,76
2025-03-31,49,Electric Kettle,,24,30,720
2024-12-21,84,Hot Dog Buns,,30,31,930
2025-05-08,91,Maple Syrup,,40,11,440
2024-08-20,90,Puzzle 3D Model Kit,,48,75,3600
2024-10-27,11,Roasted Garlic,,74,60,4440
2024-08-09,15,Roasted Garlic Aioli,,27,87,2349
2025-04-06,19,Reusable Coffee Filter,,58,31,1798
2024-11-19,65,Classic Black Trousers,,80,19,1520
2024-12-05,92,Balsamic Fig Dressing,,22,99,2178
2024-10-12,12,Bamboo Utensil Holder,,48,32,1536
2024-09-06,44,Smart Water Bottle,,66,7,462
2025-04-16,78,Fitness Jump Rope,,57,60,3420
2024-11-16,92,Mini Air Hockey Table,,29,87,2523
2024-12-30,71,Travel Organizer,,97,46,4462
2024-12-29,73,Sliced Cucumbers,,1,42,42
2024-10-14,2,Avocado Oil Mayo,,76,50,3800
2025-04-30,93,Herbed Goat Cheese,,78,72,5616
2024-10-04,58,Pet First Aid Kit,,54,94,5076
2025-03-26,98,Carrot Sticks,,61,90,5490
2024-10-07,79,Cranberry Citrus Sauce,,47,45,2115
2024-08-31,69,Lightweight Backpacking Tent,,16,55,880
2024-12-30,64,Garlic Herb Seasoning,,4,73,292
2025-01-21,86,Portable Bluetooth Speaker,,92,56,5152
2025-05-28,8,Electric Toothbrush,,49,78,3822
2025-01-03,63,Motion Sensor Light,,80,69,5520
2024-09-25,89,Taro Chips,,12,6,72
2024-07-19,10,Basic V-Neck T-Shirt,,86,44,3784
2025-07-06,63,Sliced Ham,,7,33,231
2025-03-06,50,Vegan Taco Seasoning,,27,39,1053
2025-05-25,2,Plant-Based Meal Prep Containers,,5,34,170
2025-04-22,76,Fitness Balance Ball,,80,84,6720
2024-12-06,26,Hiking Boots,,41,72,2952
2025-03-08,54,Blueberry Muffin Mix,,19,64,1216
2024-12-10,83,Lemon Pepper Seasoning,,40,56,2240
2024-11-06,69,Air Fryer,,19,49,931
2025-03-01,10,Ceramic Non-Stick Frying Pan,,50,39,1950
2025-01-25,41,Wireless Gaming Headset,,94,91,8554
2024-11-27,99,Herbal Tea Set,,16,33,528
2025-01-03,17,Home Brewing Starter Kit,,65,39,2535
2025-04-24,1,Peanut Butter,,89,22,1958
2025-04-29,76,Coconut Lime Rice,,81,10,810
2025-06-02,59,Electric Milk Frother,,22,50,1100
2024-09-27,54,Peanut Butter Chocolate Chip Bars,,28,35,980
2024-08-10,79,Mini Electric Kettle,,55,35,1925
2024-09-20,91,Classic Black Trousers,,54,91,4914
2024-08-11,44,Wireless Gaming Headset,,3,13,39
2025-07-08,18,Bamboo Utensil Holder,,94,15,1410
2025-02-12,27,Insulated Sport Tumbler,,25,4,100
2025-03-08,50,Decorative Throw Blanket,,97,42,4074
2024-09-11,14,Pine Nuts,,80,86,6880
2024-07-21,24,Non-Slip Yoga Socks,,99,71,7029
2024-11-17,99,Garden Tool Belt,,35,37,1295
2025-06-18,37,Savory Rice Cakes,,37,40,1480
2025-05-01,58,Basil Lemonade,,97,50,4850
2024-08-26,39,Whisk Set,,68,19,1292
2025-05-27,15,Frozen Pizza,,6,68,408
2024-10-05,47,Chocolate Hazelnut Granola,,15,46,690
2025-02-28,54,Portable Camping Shower,,5,16,80
2025-03-20,82,Cacao Powder,,31,51,1581
2025-01-13,22,Scented Soy Candles,,81,96,7776
2024-10-06,21,High-Low Hem Tee,,43,75,3225
2025-05-05,17,Cocoa Powder,,13,26,338
2024-08-03,53,LED Desk Lamp with USB Charging,,38,74,2812
2025-02-10,37,Mango Sticky Rice Dessert,,37,87,3219
2024-09-20,14,Incense Holder,,15,5,75
2024-08-04,67,Spicy Chicken Wings,,79,40,3160
2024-12-09,56,Jigsaw Puzzle,,23,87,2001
2025-01-20,56,Cauliflower Crust Pizza,,73,49,3577
2024-12-16,76,Kids' Craft Supplies Set,,10,75,750
2025-01-13,83,Foam Building Blocks for Kids,,89,6,534
2025-06-20,21,Adjustable Dumbbells,,66,64,4224
2024-11-03,94,Smartphone Car Mount with Wireless Charging,,88,18,1584
2024-10-04,38,Kids' Activity Book,,65,73,4745
2025-01-11,71,Caramel Sauce,,89,30,2670
2025-02-23,11,Tofu,,84,87,7308
2024-11-02,30,Pineapple Coconut Bars,,37,54,1998
2024-09-17,70,Popcorn Chicken,,52,14,728
2024-10-04,14,Hair Dryer,,35,24,840
2025-02-23,45,Pest Control Traps,,42,96,4032
2025-02-11,42,Adjustable Standing Desk,,57,10,570
2025-03-07,75,Mini Hand Gesture Drone,,19,75,1425
2024-10-16,6,Denim Jacket,,89,35,3115
2025-03-19,30,Apple Cinnamon Granola,,14,58,812
2025-02-11,52,Coconut Milk,,66,27,1782
2024-08-16,70,Bamboo Cutting Board,,63,69,4347
2025-01-31,61,Maple Breakfast Sausage,,72,37,2664
2024-10-30,86,Caramelized Onion Dip,,50,88,4400
2024-08-07,11,Mango Chutney,,61,84,5124
2025-02-20,17,Coloring Books for Adults,,14,42,588
2025-03-24,94,Wooden Puzzle Game,,60,57,3420
2024-09-23,11,Mushroom Soup (canned),,60,10,600
2024-10-15,22,Cocktail Shaker and Mixing Glass Set,,51,88,4488
2025-02-23,10,Honey Lemon Tea,,3,83,249
2024-09-07,50,Pineapple Rings,,3,96,288
2024-09-14,39,Pineapple Salsa,,96,28,2688
2024-09-03,94,Oven-Baked Parmesan Zucchini,,30,86,2580
2025-01-07,61,Smart Water Bottle with Hydration Reminder,,85,36,3060
2024-08-06,98,Feta Cheese,,78,35,2730
2024-11-29,25,Shoe Organizer,,21,20,420
2025-06-04,81,Portable Hammock,,50,94,4700
2025-01-28,42,Instant Mashed Potatoes,,49,66,3234
2025-05-14,53,Weighted Blanket,,73,44,3212
2025-05-02,96,Pressure Washer Accessories Kit,,64,84,5376
2025-03-03,36,Frozen Berry Medley,,24,100,2400
2024-10-16,21,Pet Grooming Scissors,,94,29,2726
2025-01-20,31,Adjustable Stand for Tablets and Smartphones,,79,45,3555
2024-11-03,80,Camping Tarp,,12,43,516
2025-07-03,4,Organic Vanilla Bean Ice Cream,,20,49,980
2025-06-10,60,Kids' Educational Tablet,,3,78,234
2024-10-20,75,Printed Maxi Skirt,,7,88,616
2024-10-10,93,Portable Speakers,,46,76,3496
2025-02-02,2,Electric Meat Grinder,,79,45,3555
2024-12-04,81,Bamboo Charcoal Air Purifier Bags,,91,66,6006
2025-06-05,25,Sweet Cherry Tomatoes,,43,80,3440
2025-06-02,92,Savory Rice Cakes,,63,93,5859
2024-07-27,41,Tandoori Chicken Marinade,,85,16,1360
2024-07-13,100,Magic Color-Changing Mug,,8,25,200
2024-12-09,38,Tennis Racket,,3,88,264
2025-06-17,88,Printed Maxi Skirt,,84,32,2688
2025-06-20,48,Garlic Butter Sauce,,80,88,7040
2024-10-11,70,Ski Goggles,,73,43,3139
2024-12-28,40,Electric Razor,,29,60,1740
2024-08-26,54,Garden Hose Reel,,2,16,32
2025-03-25,62,Electric Heating Pad,,77,45,3465
2024-08-20,31,Multi-Function Smartphone Holder,,54,28,1512
2025-02-11,11,Smartphone UV Sanitizer,,85,96,8160
2024-07-24,73,Tofu,,9,24,216
2024-11-10,54,Toy Building Set,,92,92,8464
2024-12-26,89,Honey Roasted Peanuts,,89,56,4984
2025-04-02,95,Compact Shoe Rack,,2,21,42
2024-09-11,42,Silicone Baking Mats,,74,89,6586
2025-06-30,3,LED Disco Ball Light,,52,65,3380
2024-10-12,2,Educational STEM Kit,,93,59,5487
2025-06-02,82,Foldable Picnic Table,,33,16,528
2025-07-01,40,Stick Vacuums Cleaner,,34,82,2788
2024-12-08,80,Luxury Bathrobe,,52,62,3224
2025-05-22,18,Digital Wireless Meat Thermometer,,13,27,351
2025-06-05,7,Lemon Garlic Shrimp,,11,48,528
2024-10-07,57,Almond Flour Cookies,,24,92,2208
2025-01-04,35,Garlic Butter Shrimp,,33,92,3036
2024-08-24,75,Graphic Print Leggings,,75,9,675
2025-06-26,33,Belted Trench Coat,,72,93,6696
2025-05-03,58,Roasted Vegetable Medley,,50,47,2350
2024-11-22,39,Electric Air Pump,,15,79,1185
2025-05-11,21,Feta Cheese,,67,43,2881
2025-06-19,76,Professional Chef Knife,,46,35,1610
2025-07-04,9,Mini Fondue Set,,98,71,6958
2024-08-01,76,Spaghetti Sauce,,2,71,142
2024-11-15,65,Watercolor Brush Pens,,45,73,3285
2025-04-03,58,Watering Can with Nozzle,,32,64,2048
2025-05-19,54,Almond Joy Protein Bars,,22,89,1958
2025-05-18,32,Fruit and Nut Bars,,4,50,200
2025-06-28,81,Mushrooms,,2,13,26
2025-03-17,94,Thyme,,15,90,1350
2025-04-25,80,Caraway Rye Bread,,100,5,500
2024-12-24,75,Kitchen Knife Sharpening System,,86,69,5934
2025-01-19,78,Multi-Function Smartphone Holder,,84,47,3948
2024-08-23,89,Robot Vacuum Cleaner,,88,9,792
2025-02-19,49,High-Speed Hand Blender,,12,91,1092
2025-03-06,71,Frozen Vegetarian Pizza,,59,17,1003
2024-11-30,100,Digital Bullet Journal,,35,3,105
2024-09-25,42,Silicone Ice Cube Tray,,52,85,4420
2025-01-01,63,Samsung Galaxy Smartwatch,,26,94,2444
2024-11-05,14,Car Trash Can,,60,92,5520
2025-02-08,84,Dishwasher Safe Cutting Board,,81,84,6804
2024-12-17,3,Water Bottle with Built-in Fruit Infuser,,38,60,2280
2025-04-22,1,Stylish Combat Boots,,53,2,106
2025-01-18,92,Caramelized Onion Dip Mix,,1,41,41
2024-08-29,28,Wall-Mounted Bookshelf,,95,90,8550
2025-03-06,89,Foldable Electric Scooter,,87,5,435
2024-10-18,26,Almond Butter Cups,,73,6,438
2024-11-05,97,Electric Skillet,,3,39,117
2025-02-19,45,Car Trash Can,,65,88,5720
2025-02-20,36,Repair Tool Set for Home Improvement,,74,70,5180
2024-07-31,44,Athletic Sports Bra,,50,39,1950
2024-11-18,21,Adjustable Bar Stools,,19,56,1064
2025-01-24,19,Classic Cheesecake Mix,,82,49,4018
2024-08-18,72,Cat Scratching Post with Toys,,90,9,810
2025-01-14,83,Vegan Tacos,,16,99,1584
2025-03-21,90,Vegetable Fried Rice Mix,,61,90,5490
2024-07-15,95,Chili Beans (canned),,37,76,2812
2025-01-22,34,Sushi Roll Kit,,80,17,1360
2024-10-22,4,Traditional Hummus,,9,66,594
2025-02-25,15,Air Purifier,,9,93,837
2025-07-10,8,Men's Waterproof Hiking Boots,,46,17,782
2024-07-18,91,Spinach and Feta Wraps,,17,8,136
2025-02-02,22,Trackpad for Laptop,,44,80,3520
2024-12-14,94,Chocolate Protein Powder,,63,46,2898
2024-10-15,31,Sliced Avocado,,42,9,378
2025-01-06,61,Stuffed Grape Leaves,,43,96,4128
2025-06-27,27,Sesame Garlic Stir-Fry Sauce,,4,25,100
2024-11-14,78,Window Blinds,,5,92,460
2025-04-10,31,Quinoa Salad,,54,88,4752
2024-12-26,69,Travel Mug with Leak-Proof Lid,,59,36,2124
2025-06-02,98,Cauliflower Gnocchi,,87,40,3480
2025-04-15,1,Glass Tea Pot,,87,40,3480
2024-10-24,73,Children's Educational Workbook,,27,94,2538
2024-11-27,66,Travel Document Organizer,,32,1,32
2025-04-15,25,Non-Stick Grill Pan,,58,69,4002
2025-06-28,33,Portable SSD,,53,61,3233
2025-02-15,84,Organic Sweet Potatoes,,42,6,252
2025-05-30,59,Desk Lamp with USB Port,,44,95,4180
2025-03-01,85,Pineapple Chunks (canned),,20,18,360
2024-08-22,7,Organic Italian Seasoning,,26,85,2210
2025-02-06,85,Foot Massager,,7,50,350
2024-08-15,28,Cinnamon Sugar Popcorn,,19,88,1672
2025-03-01,53,Cream Cheese,,37,17,629
2024-07-18,28,Kettle Corn Popcorn,,98,29,2842
2024-07-26,28,Green Smoothie Mix,,34,68,2312
2024-12-30,21,Printed Maxi Skirt,,72,15,1080
2024-11-01,62,Fitness Jump Rope with LCD Counter,,67,89,5963
2025-03-08,15,LED Desk Lamp with USB Charging,,44,55,2420
2024-12-12,82,Insulated Lunch Box,,60,58,3480
2025-05-25,65,Mediterranean Flatbread,,86,100,8600
2025-06-12,26,Fitness Resistance Bands Set,,83,43,3569
2025-06-09,74,Classic Pumps,,32,99,3168
2024-10-13,78,Fresh Basil Pesto,,87,95,8265
2025-04-22,55,Compact Refrigerator,,83,71,5893
2024-09-13,29,Digital Food Scale,,61,54,3294
2025-07-08,64,Quinoa & Black Bean Salad,,64,11,704
2025-03-30,20,Compact Shoe Rack,,92,30,2760
2024-11-02,89,Black Bean Salsa,,90,53,4770
2024-10-31,37,Honey Glazed Carrots,,44,41,1804
2024-07-29,32,Hiking Gaiters,,52,89,4628
2025-07-07,93,Energy Protein Bars,,66,46,3036
2024-09-11,80,Smartphone Stand,,33,50,1650
2024-10-16,35,Essential Oils Diffuser Necklace,,85,35,2975
2024-08-15,13,Wireless HDMI Receiver,,2,23,46
2024-09-03,39,Berry Smoothie Mix,,94,59,5546
2025-04-14,61,Beef Chili,,14,55,770
2024-08-18,31,Ice Cube Tray with Lid,,94,7,658
2025-06-24,86,Smart Water Bottle with Hydration Reminder,,11,73,803
2025-05-27,34,Baby Monitor,,62,99,6138
2024-10-21,13,Basil-infused Olive Oil,,98,92,9016
2024-08-15,45,Eco-Friendly Beeswax Wraps,,75,66,4950
2024-12-24,64,Smart Light Switch,,91,96,8736
2025-06-23,15,Laptop Backpack,,72,89,6408
2025-05-27,43,Magic Color-Changing Mug,,84,58,4872
2024-07-15,99,Skincare Fridge,,42,12,504
2025-06-21,15,Hiking Gaiters,,9,41,369
2025-06-01,85,Travel Makeup Organizer,,15,71,1065
2025-02-26,43,Pet Travel Carrier,,21,47,987
2024-08-17,60,Vegetarian Stir Fry Sauce,,76,79,6004
2024-11-11,79,Knitted Infinity Scarf,,18,96,1728
2024-08-17,66,Essential Oil Diffuser,,35,40,1400
2025-03-21,57,Pet Tracking Collar,,79,59,4661
2025-06-13,92,Hibiscus Tea Bags,,90,82,7380
2025-05-08,76,Self-Inflating Camping Mattress,,54,56,3024
2024-09-12,25,Wireless HDMI Receiver,,13,53,689
2024-10-25,2,Organic Granola,,41,25,1025
2025-04-21,85,Wall Calendar,,35,14,490
2024-10-19,54,Fruit and Nut Bars,,12,33,396
2025-02-15,17,Outdoor Camping Hammock,,34,86,2924
2024-10-01,96,Organic Black Rice,,12,51,612
2025-04-29,96,Vacuum Sealer Machine,,86,94,8084
2024-11-25,72,Almond Butter Granola Bars,,62,91,5642
2025-04-20,93,Classic White T-Shirt,,74,16,1184
2024-11-23,83,Spicy Salsa Verde,,8,25,200
2024-10-07,47,Fitness Tracker Watch,,61,88,5368
2025-07-07,70,Chipotle Lime Salsa,,89,30,2670
2025-04-08,25,Spinach Feta Wraps,,8,18,144
2025-02-12,23,Travel Mug,,27,31,837
2024-12-28,59,Savory Quinoa Pudding,,21,84,1764
2024-09-24,30,Low-Fat Yogurt,,20,76,1520
2024-12-27,16,Mini Air Hockey Table,,41,10,410
2025-01-31,44,Non-Stick Crepe Pan,,16,66,1056
2024-08-17,80,Pistachio Ice Cream,,69,100,6900
2024-09-29,73,Sweet Potato Chips,,76,39,2964
2025-05-14,86,Gluten-Free Brownies,,99,47,4653
2025-01-27,81,Outdoor Fire Pit,,20,48,960
2025-04-15,83,Kid's Fruit Snacks,,34,61,2074
2024-11-27,63,Set of Decorative Storage Bins,,99,3,297
2024-10-02,85,Smartphone Tripod with Remote,,22,38,836
2024-11-06,67,Crispy Potato Tots,,18,54,972
2025-04-27,41,Bike Helmet,,92,22,2024
2025-01-23,25,Kale Chips,,97,84,8148
2024-12-05,46,Vegan Taco Seasoning,,83,63,5229
2025-05-28,72,Graphic Hoodie,,90,42,3780
2025-05-14,7,Cauliflower Crust Pizza,,42,75,3150
2025-01-08,25,Shredded Cheese,,50,67,3350
2024-08-16,53,Smart Thermostat,,79,54,4266
2025-01-19,7,Quinoa and Kale Salad Kit,,57,42,2394
2024-09-20,85,Spicy Roasted Nuts,,86,6,516
2024-09-03,43,Spaghetti Sauce,,89,43,3827
2025-06-27,45,Face Mask Set,,88,76,6688
2025-02-16,88,LED Desk Lamp,,34,92,3128
2024-09-24,62,Portable Air Pump,,25,63,1575
2025-05-08,30,Dog Training Collar,,91,3,273
2025-06-01,86,Patterned Knit Scarf,,83,99,8217
2024-09-19,70,Blue Denim Jeans,,36,40,1440
2024-12-23,34,Honey Roasted Almonds,,84,15,1260
2025-05-31,62,Leek and Potato Soup,,69,11,759
2024-12-18,45,Folding Backpack Chair,,100,85,8500
2025-03-11,29,Portable Speaker Stand,,50,5,250
2025-03-09,92,Pet Camera with Treat Dispenser,,40,27,1080
2025-03-04,25,Ice Pack,,100,3,300
2025-06-06,70,Handmade Soap Making Kit,,30,29,870
2024-11-23,40,Trackpad for Laptop,,80,83,6640
2024-08-12,81,Cherry Almond Protein Bar,,42,57,2394
2025-02-12,99,Pineapple Chunks (canned),,66,56,3696
2025-06-15,92,Sustainable Wooden Toys,,38,47,1786
2024-10-29,75,Handmade Wooden Utensil Set,,73,66,4818
2025-01-10,18,Bamboo Utensil Set,,32,87,2784
